attendance_id,training_id,employee_id,attendance_date,completion_status
141,1,75,2024-04-01,Completed
142,12,75,2025-02-25,Completed
143,7,75,2024-11-30,Completed
144,14,77,2024-04-08,Completed
145,7,78,2025-07-22,In Progress
146,3,79,2025-02-08,Completed
147,12,81,2026-06-29,No-show
148,5,82,2025-03-26,Completed
149,4,82,2026-01-02,Completed
150,10,82,2024-07-19,Completed
151,6,84,2025-04-29,Completed
152,10,84,2025-08-05,Completed
153,2,84,2024-12-21,Completed
154,7,84,2025-04-03,In Progress
155,3,85,2025-03-15,In Progress
156,12,85,2024-09-01,Completed
157,2,85,2025-03-22,Completed
158,11,85,2023-11-04,Completed
159,2,87,2026-03-27,Completed
160,6,87,2026-05-10,Completed
161,5,87,2026-05-19,Completed
162,9,88,2025-11-02,In Progress
163,14,88,2025-06-02,In Progress
164,5,88,2025-01-17,Completed
165,4,89,2025-01-14,Completed
166,13,90,2024-07-17,Completed
167,8,90,2024-07-06,Completed
168,12,92,2026-06-09,Completed
169,15,92,2024-10-05,In Progress
170,14,92,2024-12-19,Completed
171,1,92,2024-08-24,Completed
172,10,97,2025-07-11,Completed
173,5,97,2024-06-13,Completed
174,13,99,2024-11-02,Completed
175,1,100,2026-01-06,Completed
176,12,100,2026-06-28,Completed
177,10,100,2026-06-25,Completed
178,9,100,2026-05-02,Completed
179,2,104,2026-03-02,Completed
180,15,105,2024-11-19,Completed
181,11,105,2024-09-06,Completed
182,10,108,2026-04-22,Completed
183,8,108,2026-05-29,No-show
184,11,108,2025-10-24,In Progress
185,2,109,2026-03-29,Completed
186,8,109,2023-10-06,Completed
187,9,109,2025-09-28,In Progress
188,2,110,2023-09-25,Completed
189,5,110,2024-08-30,Completed
190,14,110,2025-09-19,Completed
191,4,111,2024-09-21,Completed
192,9,112,2024-06-26,Completed
193,15,113,2024-05-19,No-show
194,7,113,2023-10-11,In Progress
195,10,114,2025-01-09,Completed
196,11,114,2023-09-09,In Progress
197,14,114,2025-12-29,Completed
198,15,114,2026-03-16,Completed
199,3,115,2024-08-29,Completed
200,14,115,2023-09-09,No-show
201,14,116,2025-05-28,In Progress
202,13,116,2025-08-08,In Progress
203,11,116,2026-02-11,In Progress
204,15,116,2026-01-06,Completed
205,11,118,2024-01-15,Completed
206,12,120,2024-02-14,Completed
207,9,120,2026-06-25,Completed
208,6,120,2025-05-11,Completed
209,13,120,2024-11-12,Completed
210,8,122,2025-07-25,Completed
211,7,123,2025-10-08,Completed
212,10,123,2025-10-03,Completed
213,15,123,2025-01-25,In Progress
214,9,125,2025-10-13,Completed
215,8,126,2025-03-27,Completed
216,8,127,2025-01-30,Completed
217,10,128,2025-06-30,Completed
218,15,129,2026-06-18,Completed
219,14,130,2026-06-02,Completed
220,1,130,2023-12-26,In Progress
221,15,130,2025-07-25,Completed
222,12,131,2025-12-06,Completed
223,11,131,2025-08-27,Completed
224,6,131,2026-04-04,Completed
225,14,133,2026-05-12,Completed
226,3,133,2026-05-12,Completed
227,12,137,2026-01-08,Completed
228,14,137,2025-10-13,Completed
229,15,137,2025-02-12,In Progress
230,8,137,2025-05-12,Completed
231,12,138,2025-09-26,Completed
232,15,138,2023-11-26,Completed
233,1,138,2024-01-19,Completed
234,9,138,2026-01-27,In Progress
235,5,140,2026-02-21,Completed
236,10,142,2024-08-02,Completed
237,9,142,2026-02-10,Completed
238,14,142,2025-10-10,Completed
239,5,142,2025-09-17,Completed
240,6,143,2025-04-29,Completed
241,14,143,2025-08-21,Completed
242,8,144,2024-07-13,In Progress
243,15,146,2026-06-26,Completed
244,6,147,2023-10-20,In Progress
245,10,147,2025-04-15,In Progress
246,15,147,2025-06-06,Completed
247,4,147,2025-10-20,No-show
248,6,148,2026-03-27,Completed
249,1,148,2026-05-18,Completed
250,3,149,2025-04-28,Completed
251,2,149,2025-07-16,In Progress
252,4,151,2026-06-06,Completed
253,10,151,2025-03-28,Completed
254,12,151,2024-01-24,Completed
255,4,154,2025-02-18,Completed
256,14,154,2026-06-15,In Progress
257,8,155,2023-12-29,Completed
258,3,155,2025-12-07,In Progress
259,11,155,2026-06-25,Completed
260,14,156,2024-07-21,Completed
261,9,156,2025-07-28,No-show
262,8,156,2024-10-22,Completed
263,3,157,2025-10-28,Completed
264,6,157,2024-10-22,Completed
265,9,158,2024-10-28,Completed
266,5,158,2026-06-21,Completed
267,5,159,2026-01-27,Completed
268,13,159,2025-06-11,Completed
269,12,159,2026-06-14,Completed
270,5,160,2023-09-29,Completed
271,12,161,2023-11-19,Completed
272,1,161,2024-12-05,Completed
273,3,161,2024-10-03,No-show
274,14,162,2026-03-16,Completed
275,13,162,2025-06-22,In Progress
276,2,164,2025-02-10,No-show
277,1,164,2024-11-28,No-show
278,13,164,2026-01-29,Completed
279,6,164,2024-12-06,Completed
280,8,165,2024-06-06,Completed
281,5,165,2023-08-19,No-show
282,9,165,2023-08-18,Completed
283,11,166,2026-03-18,Completed
284,5,166,2024-01-15,Completed
285,15,166,2024-11-30,Completed
286,9,168,2023-08-12,Completed
287,11,170,2025-09-28,Completed
288,8,170,2026-05-28,Completed
289,4,174,2026-05-14,Completed
290,12,176,2025-03-15,In Progress
291,6,176,2025-11-27,Completed
292,3,177,2026-05-15,Completed
293,3,178,2026-03-13,Completed
294,12,178,2026-02-03,Completed
295,10,178,2026-02-15,Completed
296,7,178,2026-06-11,Completed
297,14,179,2025-05-12,Completed
298,8,179,2024-01-17,No-show
299,4,179,2025-03-03,In Progress
300,8,182,2023-12-05,In Progress
301,13,182,2026-05-12,Completed
302,14,182,2025-08-31,No-show
303,2,182,2025-08-01,Completed
304,8,183,2024-01-28,Completed
305,5,183,2025-03-15,Completed
306,10,183,2025-07-06,Completed
307,6,186,2026-03-01,Completed
308,13,186,2025-03-12,Completed
309,10,186,2025-04-08,Completed
310,7,186,2025-11-26,Completed
311,9,187,2023-09-07,Completed
312,7,187,2026-06-20,Completed
313,14,187,2026-02-14,Completed
314,1,188,2023-12-18,No-show
315,5,188,2024-02-04,Completed
316,14,189,2025-02-09,Completed
317,11,193,2024-03-07,Completed
318,15,193,2025-11-05,Completed
319,12,193,2024-09-17,Completed
320,2,193,2025-08-25,Completed
321,5,194,2024-03-29,Completed
322,7,194,2024-12-29,No-show
323,12,194,2024-02-27,Completed
324,12,196,2023-07-17,Completed
325,9,196,2026-04-23,Completed
326,2,196,2024-11-22,Completed
327,11,196,2025-11-16,Completed
328,8,197,2025-05-24,Completed
329,4,197,2024-05-30,In Progress
330,10,197,2024-09-03,Completed
331,11,197,2025-08-28,In Progress
332,11,199,2024-10-24,Completed
333,1,200,2026-06-20,Completed
334,14,200,2025-04-22,Completed
335,4,200,2026-03-29,Completed
336,2,200,2026-04-07,Completed
