contract_id,employee_id,contract_type,fte_percentage,base_salary,start_date,end_date
41,36,Permanent,100.0,71950.88,2025-04-20,
42,37,Permanent,100.0,67906.66,2021-12-29,
43,38,Permanent,50.0,75545.75,2023-07-25,
44,39,Intern,100.0,66528.16,2018-09-26,
45,40,Permanent,100.0,81644.08,2019-04-18,
46,41,Fixed-term,50.0,61634.2,2018-11-07,
47,42,Permanent,100.0,61019.13,2026-01-01,
48,43,Intern,80.0,68104.79,2024-11-25,
49,44,Intern,100.0,73270.85,2023-01-24,
50,45,Fixed-term,50.0,79676.02,2023-04-01,
51,46,Permanent,50.0,75947.3,2023-01-06,
52,47,Fixed-term,80.0,80241.71,2020-08-19,
53,48,Fixed-term,100.0,67909.28,2021-08-15,2025-08-18
54,48,Permanent,100.0,59574.3,2025-08-18,
55,49,Permanent,100.0,60383.51,2024-09-02,
56,50,Intern,50.0,59315.04,2021-02-24,
57,51,Permanent,100.0,63335.34,2022-12-30,
58,52,Intern,80.0,73245.96,2022-11-17,
59,53,Permanent,100.0,78133.58,2023-03-30,
60,54,Intern,50.0,65209.15,2020-08-17,
61,55,Permanent,100.0,64517.01,2022-01-06,2025-07-15
62,56,Permanent,80.0,58386.37,2024-03-12,
63,57,Permanent,100.0,66418.06,2019-04-06,
64,58,Permanent,80.0,77284.67,2024-11-20,
65,59,Permanent,100.0,69655.16,2019-06-02,
66,60,Intern,50.0,69752.14,2020-10-15,
67,61,Intern,50.0,76908.32,2022-12-09,
68,62,Intern,100.0,69909.11,2022-01-17,
69,63,Permanent,100.0,59945.97,2023-08-22,
70,64,Permanent,100.0,57248.03,2024-07-12,
71,65,Permanent,100.0,55165.95,2019-04-09,
72,66,Fixed-term,100.0,48332.66,2023-05-31,2025-02-12
73,66,Permanent,100.0,52074.31,2025-02-12,
74,67,Permanent,50.0,60055.85,2025-12-27,
75,68,Intern,80.0,51601.4,2021-06-19,
76,69,Fixed-term,100.0,59548.38,2021-08-29,
77,70,Permanent,100.0,51535.28,2026-03-17,
78,71,Permanent,80.0,56736.42,2019-01-26,
79,72,Permanent,50.0,44864.6,2018-07-16,
80,73,Fixed-term,100.0,54364.77,2023-06-15,2025-09-08
81,73,Permanent,80.0,54729.3,2025-09-08,
82,74,Permanent,50.0,51216.17,2019-05-06,
83,75,Fixed-term,50.0,62367.97,2022-08-22,
84,76,Permanent,50.0,54558.37,2018-12-20,
85,77,Fixed-term,80.0,59945.5,2020-11-08,
86,78,Intern,100.0,45297.71,2024-10-11,
87,79,Permanent,100.0,59903.1,2020-04-27,
88,80,Intern,100.0,56499.53,2018-10-11,
89,81,Intern,100.0,43579.06,2026-01-04,
90,82,Permanent,100.0,50020.47,2020-04-14,
91,83,Permanent,100.0,56146.89,2023-10-11,
92,84,Fixed-term,80.0,44284.61,2021-12-03,2026-03-29
93,84,Permanent,80.0,50523.89,2026-03-29,
94,85,Permanent,100.0,49232.75,2018-10-06,
95,86,Intern,100.0,44699.14,2019-04-12,
96,87,Fixed-term,80.0,52435.56,2026-02-13,2026-04-24
97,87,Permanent,100.0,51862.26,2026-04-24,
98,88,Intern,100.0,51283.67,2019-10-17,
99,89,Intern,50.0,49903.46,2018-12-05,
100,90,Fixed-term,100.0,43635.84,2023-05-24,2026-04-14
101,90,Permanent,100.0,62688.91,2026-04-14,
102,91,Fixed-term,100.0,56234.54,2024-12-18,2025-05-31
103,91,Permanent,80.0,58283.22,2025-05-31,
104,92,Permanent,50.0,52947.71,2024-04-30,
105,93,Permanent,100.0,53651.65,2023-05-03,2025-06-07
106,94,Intern,100.0,44441.51,2021-11-13,
107,95,Permanent,100.0,43374.83,2023-01-05,
108,96,Permanent,100.0,51585.69,2023-03-20,
109,97,Fixed-term,100.0,45303.47,2023-01-20,
110,98,Fixed-term,80.0,54218.51,2020-11-08,2022-11-03
111,98,Permanent,100.0,59640.52,2022-11-03,
112,99,Permanent,100.0,59889.69,2023-06-15,
113,100,Intern,100.0,53479.25,2025-11-20,
114,101,Permanent,100.0,47431.44,2021-02-18,
115,102,Permanent,100.0,55664.49,2018-10-10,2024-05-07
116,103,Permanent,100.0,50021.99,2023-02-23,
117,104,Permanent,80.0,45056.09,2024-01-16,
118,105,Permanent,100.0,46057.4,2023-04-08,
119,106,Permanent,80.0,62025.84,2024-10-01,
120,107,Fixed-term,100.0,58197.54,2019-12-30,
121,108,Intern,100.0,49464.16,2025-05-15,
122,109,Permanent,80.0,51795.26,2020-04-13,
123,110,Permanent,100.0,54828.4,2021-04-09,
124,111,Permanent,100.0,52234.85,2021-07-30,
125,112,Fixed-term,100.0,44074.23,2021-07-18,2023-10-11
126,112,Permanent,80.0,55300.17,2023-10-11,
127,113,Fixed-term,100.0,54086.33,2020-03-10,
128,114,Permanent,100.0,61181.0,2019-03-22,
129,115,Permanent,100.0,55100.12,2019-03-14,
130,116,Permanent,100.0,45070.04,2024-12-15,
131,117,Permanent,50.0,53090.98,2022-11-15,
132,118,Permanent,100.0,62819.72,2023-12-22,
133,119,Intern,80.0,50277.96,2022-11-10,
134,120,Fixed-term,100.0,58489.3,2023-09-28,
135,121,Permanent,100.0,44318.24,2025-02-19,
136,122,Fixed-term,100.0,46527.94,2020-01-08,2024-07-08
137,122,Permanent,80.0,49667.24,2024-07-08,
138,123,Permanent,100.0,49204.63,2022-10-01,
139,124,Fixed-term,80.0,54900.82,2022-10-01,
140,125,Permanent,100.0,50533.59,2019-06-02,
141,126,Permanent,100.0,44869.06,2021-01-05,
142,127,Intern,100.0,43364.61,2021-04-09,
143,128,Permanent,100.0,61953.37,2019-12-01,
144,129,Permanent,80.0,46098.9,2026-05-06,
145,130,Permanent,100.0,58417.49,2020-05-02,
146,131,Intern,50.0,56238.58,2024-12-15,
147,132,Intern,80.0,54944.93,2020-09-21,2024-11-03
148,133,Permanent,100.0,59180.87,2026-04-26,
149,134,Fixed-term,50.0,51217.17,2022-05-24,
150,135,Permanent,100.0,55211.91,2024-03-04,
151,136,Fixed-term,80.0,53680.22,2019-09-07,
152,137,Fixed-term,80.0,50356.82,2023-05-20,
153,138,Fixed-term,100.0,58388.77,2023-09-18,
154,139,Intern,100.0,51373.22,2021-04-02,
155,140,Permanent,100.0,45767.97,2021-03-26,
156,141,Fixed-term,100.0,54090.81,2018-10-27,
157,142,Fixed-term,80.0,46990.88,2020-11-16,2025-10-13
158,142,Permanent,80.0,48455.83,2025-10-13,
159,143,Permanent,100.0,33283.99,2025-03-08,
160,144,Fixed-term,100.0,45026.61,2020-08-22,
161,145,Fixed-term,100.0,37235.46,2024-09-22,
162,146,Permanent,100.0,35143.54,2026-06-25,
163,147,Permanent,100.0,43079.33,2021-10-19,
164,148,Fixed-term,100.0,38821.51,2025-12-11,2026-03-17
165,148,Permanent,80.0,42623.78,2026-03-17,
166,149,Intern,50.0,44682.0,2024-09-02,
167,150,Fixed-term,80.0,37378.28,2021-12-08,2023-04-23
168,150,Permanent,100.0,33556.62,2023-04-23,
169,151,Permanent,50.0,32668.49,2019-11-03,
170,152,Intern,100.0,32879.3,2020-12-04,
171,153,Fixed-term,100.0,39504.75,2020-09-04,
172,154,Intern,80.0,42059.62,2018-08-28,
173,155,Permanent,100.0,36939.42,2019-02-10,
174,156,Permanent,50.0,39328.78,2024-01-02,
175,157,Intern,100.0,39102.59,2023-11-13,
176,158,Intern,50.0,37466.35,2023-11-09,
177,159,Fixed-term,100.0,35551.1,2019-05-01,
178,160,Fixed-term,100.0,34363.03,2020-03-04,2021-02-03
179,160,Permanent,80.0,42801.02,2021-02-03,
180,161,Permanent,80.0,32620.7,2021-04-13,
181,162,Permanent,100.0,45731.47,2025-03-08,
182,163,Permanent,80.0,32883.41,2023-06-19,
183,164,Fixed-term,50.0,36108.2,2024-11-16,
184,165,Fixed-term,80.0,35092.84,2020-10-30,2022-02-10
185,165,Permanent,100.0,39215.37,2022-02-10,
186,166,Intern,100.0,35546.39,2021-03-10,
187,167,Permanent,100.0,36997.64,2023-01-30,
188,168,Permanent,100.0,33742.65,2018-11-12,
189,169,Fixed-term,100.0,44524.92,2023-08-04,2024-06-28
190,170,Permanent,100.0,41688.96,2025-07-05,
191,171,Intern,100.0,43216.07,2019-10-15,
192,172,Permanent,100.0,40434.35,2020-02-04,2022-03-14
193,173,Intern,100.0,36496.96,2024-11-18,
194,174,Fixed-term,100.0,35003.66,2026-03-22,2026-05-31
195,174,Permanent,100.0,34333.03,2026-05-31,
196,175,Fixed-term,50.0,42175.4,2024-07-21,
197,176,Intern,100.0,35843.78,2022-02-11,
198,177,Permanent,50.0,41396.57,2026-01-22,
199,178,Intern,80.0,45339.05,2026-01-14,
200,179,Fixed-term,80.0,33237.05,2020-06-18,2025-07-16
201,179,Permanent,80.0,42899.22,2025-07-16,
202,180,Fixed-term,100.0,32453.39,2020-07-14,
203,181,Fixed-term,100.0,37208.19,2023-10-09,
204,182,Intern,80.0,39412.44,2019-09-03,
205,183,Permanent,80.0,45447.28,2024-01-21,
206,184,Permanent,100.0,39248.43,2024-09-01,2025-02-28
207,185,Permanent,100.0,42849.5,2019-10-19,
208,186,Permanent,100.0,35998.08,2024-08-01,
209,187,Fixed-term,80.0,33716.92,2022-07-22,
210,188,Fixed-term,80.0,44581.51,2019-01-29,
211,189,Permanent,100.0,41349.76,2023-05-31,
212,190,Intern,100.0,36065.07,2025-07-25,
213,191,Permanent,80.0,43111.75,2024-09-04,2026-01-24
214,192,Permanent,80.0,43088.92,2019-10-09,
215,193,Fixed-term,50.0,37052.55,2021-10-09,
216,194,Fixed-term,100.0,33816.8,2023-11-29,
217,195,Permanent,100.0,37574.24,2020-02-14,
218,196,Fixed-term,100.0,37751.13,2019-04-13,
219,197,Intern,50.0,33754.57,2024-03-11,
220,198,Permanent,100.0,38521.66,2021-11-05,
221,199,Permanent,100.0,40957.12,2020-03-01,
222,200,Permanent,100.0,39040.09,2024-09-08,
