leave_id,employee_id,leave_type_id,start_date,end_date,days_taken,status
106,24,1,2026-06-22,2026-06-23,2,Approved
107,24,1,2026-06-11,2026-06-15,5,Approved
108,24,3,2026-06-05,2026-06-06,2,Approved
109,24,2,2026-05-25,2026-05-26,2,Approved
110,24,1,2026-05-08,2026-05-08,1,Approved
111,25,2,2025-09-29,2025-10-03,5,Approved
112,25,1,2025-11-02,2025-11-06,5,Approved
113,25,1,2026-02-10,2026-02-10,1,Rejected
114,25,2,2026-06-12,2026-06-12,1,Approved
115,25,1,2025-12-09,2025-12-09,1,Approved
116,26,1,2025-08-20,2025-08-20,1,Approved
117,26,2,2026-04-10,2026-04-14,5,Approved
118,26,1,2026-04-24,2026-04-24,1,Approved
119,26,1,2023-11-23,2023-11-27,5,Approved
120,26,2,2026-02-22,2026-02-26,5,Approved
121,27,1,2026-06-09,2026-06-11,3,Approved
122,27,1,2026-03-23,2026-03-27,5,Approved
123,27,1,2025-12-06,2025-12-15,10,Approved
124,27,1,2025-10-25,2025-10-25,1,Approved
125,29,2,2024-10-31,2024-11-04,5,Approved
126,29,2,2024-08-20,2024-08-20,1,Approved
127,29,4,2024-01-28,2024-01-29,2,Approved
128,29,1,2024-09-22,2024-10-01,10,Approved
129,29,1,2025-08-25,2025-09-03,10,Approved
130,29,4,2025-04-15,2025-04-24,10,Approved
131,30,4,2026-04-10,2026-04-10,1,Approved
132,30,2,2026-02-08,2026-02-09,2,Approved
133,30,1,2026-06-05,2026-06-06,2,Approved
134,30,2,2025-12-17,2025-12-18,2,Approved
135,30,2,2026-03-15,2026-03-16,2,Approved
136,31,1,2025-08-20,2025-08-21,2,Approved
137,31,4,2024-05-24,2024-05-28,5,Approved
138,31,1,2024-12-04,2024-12-04,1,Approved
139,31,2,2023-07-10,2023-07-19,10,Approved
140,32,3,2025-10-09,2025-10-13,5,Pending
141,32,1,2025-02-16,2025-02-20,5,Approved
142,32,4,2025-12-02,2025-12-02,1,Approved
143,32,1,2023-09-29,2023-10-03,5,Approved
144,32,2,2025-05-02,2025-05-11,10,Approved
145,32,1,2025-03-18,2025-03-20,3,Approved
146,33,2,2025-06-26,2025-07-05,10,Approved
147,33,1,2023-09-24,2023-09-28,5,Pending
148,33,2,2025-09-29,2025-10-01,3,Approved
149,33,1,2024-09-05,2024-09-06,2,Approved
150,33,2,2025-08-19,2025-08-21,3,Approved
151,33,2,2026-06-10,2026-06-11,2,Approved
152,33,1,2025-03-15,2025-03-19,5,Approved
153,34,2,2024-02-19,2024-02-20,2,Approved
154,34,1,2026-05-09,2026-05-09,1,Approved
155,34,1,2026-06-05,2026-06-06,2,Approved
156,34,1,2025-04-19,2025-04-19,1,Approved
157,34,2,2025-09-23,2025-10-02,10,Approved
158,34,1,2026-01-17,2026-01-18,2,Approved
159,34,2,2024-02-13,2024-02-13,1,Approved
160,35,3,2024-04-25,2024-04-26,2,Approved
161,35,1,2025-05-01,2025-05-01,1,Approved
162,35,1,2024-06-19,2024-06-23,5,Approved
163,36,3,2026-01-31,2026-02-01,2,Approved
164,36,1,2025-05-17,2025-05-21,5,Approved
165,36,1,2026-01-16,2026-01-17,2,Rejected
166,36,4,2025-11-07,2025-11-08,2,Approved
167,36,1,2025-07-13,2025-07-15,3,Approved
168,36,1,2025-12-26,2025-12-28,3,Approved
169,36,1,2026-04-23,2026-04-24,2,Approved
170,37,1,2025-10-09,2025-10-18,10,Approved
171,37,1,2023-11-07,2023-11-07,1,Approved
172,37,1,2025-10-10,2025-10-10,1,Pending
173,37,1,2025-04-18,2025-04-22,5,Approved
174,37,3,2024-11-02,2024-11-06,5,Approved
175,37,4,2025-07-02,2025-07-04,3,Approved
176,37,4,2023-08-08,2023-08-12,5,Approved
177,38,2,2025-06-02,2025-06-04,3,Approved
178,38,2,2025-01-14,2025-01-23,10,Approved
179,38,1,2026-01-12,2026-01-16,5,Approved
180,39,1,2023-08-01,2023-08-05,5,Approved
181,39,1,2026-03-02,2026-03-03,2,Approved
182,39,1,2025-01-30,2025-01-31,2,Approved
183,39,1,2026-01-04,2026-01-08,5,Approved
184,39,2,2024-01-04,2024-01-08,5,Pending
185,39,2,2026-05-05,2026-05-14,10,Approved
186,39,2,2025-10-17,2025-10-17,1,Approved
187,39,1,2023-08-22,2023-08-24,3,Approved
188,40,1,2025-01-12,2025-01-16,5,Approved
189,40,1,2024-12-19,2024-12-20,2,Approved
190,41,1,2023-07-09,2023-07-10,2,Approved
191,41,1,2024-11-09,2024-11-13,5,Pending
192,41,1,2025-06-02,2025-06-02,1,Rejected
193,41,1,2024-05-26,2024-05-28,3,Approved
194,41,4,2026-04-15,2026-04-15,1,Approved
195,41,2,2023-12-13,2023-12-17,5,Approved
196,41,1,2023-11-17,2023-11-21,5,Approved
197,41,1,2024-07-22,2024-07-24,3,Pending
198,42,1,2026-06-11,2026-06-12,2,Approved
199,42,4,2026-03-07,2026-03-08,2,Approved
200,42,4,2026-04-28,2026-05-02,5,Approved
201,42,2,2026-05-07,2026-05-07,1,Approved
202,42,3,2026-05-05,2026-05-07,3,Approved
203,42,1,2026-02-11,2026-02-11,1,Rejected
204,42,1,2026-05-08,2026-05-08,1,Approved
205,43,1,2026-03-17,2026-03-21,5,Pending
206,43,1,2025-01-18,2025-01-18,1,Approved
207,43,4,2025-12-09,2025-12-10,2,Approved
208,43,2,2025-01-27,2025-01-31,5,Approved
209,43,2,2025-03-15,2025-03-15,1,Approved
210,43,1,2025-07-03,2025-07-03,1,Approved
211,43,1,2026-03-05,2026-03-05,1,Approved
212,43,3,2024-12-15,2024-12-15,1,Approved
213,44,4,2024-07-27,2024-07-29,3,Approved
214,44,1,2023-10-20,2023-10-21,2,Approved
215,44,1,2026-06-01,2026-06-01,1,Rejected
216,44,3,2024-04-10,2024-04-19,10,Rejected
217,45,1,2024-06-26,2024-06-28,3,Approved
218,45,2,2024-01-17,2024-01-17,1,Approved
219,46,4,2026-01-02,2026-01-06,5,Pending
220,46,1,2024-02-08,2024-02-10,3,Approved
221,46,1,2023-07-11,2023-07-11,1,Approved
222,46,4,2024-08-17,2024-08-19,3,Approved
223,46,3,2026-03-22,2026-03-23,2,Approved
224,46,2,2024-07-22,2024-07-31,10,Approved
225,46,1,2024-03-11,2024-03-15,5,Approved
226,46,1,2024-06-12,2024-06-14,3,Approved
227,47,1,2024-02-17,2024-02-26,10,Approved
228,47,1,2024-12-09,2024-12-09,1,Approved
229,48,2,2025-11-06,2025-11-15,10,Approved
230,48,4,2024-03-09,2024-03-13,5,Approved
231,48,3,2024-02-03,2024-02-04,2,Approved
232,48,1,2025-12-29,2025-12-29,1,Approved
233,48,1,2025-02-12,2025-02-16,5,Approved
234,48,3,2024-12-22,2024-12-23,2,Approved
235,48,4,2024-02-29,2024-03-04,5,Approved
236,48,4,2026-06-07,2026-06-09,3,Approved
237,49,1,2025-01-21,2025-01-21,1,Approved
238,49,4,2025-07-08,2025-07-12,5,Approved
239,49,1,2025-12-27,2025-12-27,1,Approved
240,49,2,2025-09-26,2025-09-27,2,Approved
241,49,1,2025-01-14,2025-01-18,5,Approved
242,49,1,2025-08-22,2025-08-22,1,Approved
243,50,1,2023-07-13,2023-07-13,1,Approved
244,50,3,2025-10-27,2025-10-29,3,Approved
245,50,2,2025-02-17,2025-02-18,2,Approved
246,50,1,2024-11-07,2024-11-07,1,Approved
247,50,1,2025-05-14,2025-05-15,2,Approved
248,50,2,2026-02-27,2026-03-08,10,Approved
249,50,1,2024-11-26,2024-11-28,3,Approved
250,50,1,2024-04-16,2024-04-17,2,Approved
251,51,1,2024-10-03,2024-10-04,2,Approved
252,51,1,2024-03-29,2024-04-02,5,Approved
253,51,2,2025-05-03,2025-05-03,1,Approved
254,51,1,2026-01-05,2026-01-14,10,Approved
255,51,1,2024-06-20,2024-06-24,5,Approved
256,51,1,2024-08-18,2024-08-22,5,Approved
257,51,1,2026-03-12,2026-03-16,5,Approved
258,51,1,2024-02-26,2024-03-01,5,Approved
259,52,2,2023-09-27,2023-09-27,1,Approved
260,52,2,2026-03-15,2026-03-17,3,Approved
261,52,2,2025-02-10,2025-02-14,5,Pending
262,52,4,2024-03-24,2024-03-25,2,Approved
263,53,1,2026-03-30,2026-04-08,10,Approved
264,53,2,2024-06-15,2024-06-16,2,Approved
265,53,2,2026-05-23,2026-05-25,3,Approved
266,53,1,2023-11-22,2023-11-24,3,Approved
267,53,1,2024-05-11,2024-05-11,1,Approved
268,53,1,2024-04-11,2024-04-20,10,Approved
269,53,3,2024-08-21,2024-08-21,1,Approved
270,54,1,2023-12-24,2023-12-28,5,Approved
271,54,1,2025-07-11,2025-07-11,1,Approved
272,54,1,2024-10-22,2024-10-22,1,Approved
273,56,1,2026-03-29,2026-04-02,5,Approved
274,56,2,2026-04-23,2026-04-23,1,Approved
275,56,1,2024-08-18,2024-08-18,1,Approved
276,56,4,2025-02-07,2025-02-16,10,Pending
277,57,4,2023-12-21,2023-12-21,1,Approved
278,57,1,2025-12-27,2025-12-28,2,Approved
279,57,1,2023-07-08,2023-07-10,3,Approved
280,57,1,2024-01-30,2024-01-30,1,Pending
281,57,1,2024-09-03,2024-09-07,5,Approved
282,58,2,2026-03-23,2026-03-24,2,Approved
283,58,4,2025-07-02,2025-07-03,2,Approved
284,58,1,2026-04-05,2026-04-14,10,Pending
285,58,1,2025-12-29,2025-12-29,1,Approved
286,58,1,2026-02-19,2026-02-23,5,Approved
287,58,1,2024-12-30,2025-01-03,5,Pending
288,58,3,2025-05-02,2025-05-02,1,Approved
289,59,2,2026-06-02,2026-06-06,5,Approved
290,59,1,2024-02-10,2024-02-19,10,Approved
291,59,2,2024-11-21,2024-11-21,1,Approved
292,59,1,2023-11-09,2023-11-09,1,Approved
293,60,2,2025-04-20,2025-04-29,10,Approved
294,60,1,2024-09-03,2024-09-07,5,Pending
295,60,2,2024-04-24,2024-04-28,5,Approved
296,60,1,2025-10-04,2025-10-13,10,Approved
297,60,2,2023-08-03,2023-08-04,2,Pending
298,60,1,2025-02-16,2025-02-20,5,Approved
299,60,4,2024-02-29,2024-03-01,2,Approved
300,61,1,2023-10-01,2023-10-05,5,Approved
301,61,1,2024-06-04,2024-06-13,10,Approved
302,62,2,2023-07-25,2023-08-03,10,Approved
303,62,1,2025-03-19,2025-03-23,5,Approved
304,62,2,2024-06-08,2024-06-12,5,Approved
305,62,1,2025-06-23,2025-06-25,3,Approved
306,62,1,2026-06-01,2026-06-02,2,Approved
307,62,2,2026-03-06,2026-03-10,5,Approved
308,62,2,2026-05-21,2026-05-21,1,Approved
309,63,1,2026-03-02,2026-03-02,1,Approved
310,63,1,2023-11-06,2023-11-10,5,Approved
311,63,4,2025-03-25,2025-03-27,3,Approved
312,63,2,2025-08-14,2025-08-14,1,Approved
313,63,2,2025-08-29,2025-09-07,10,Approved
314,64,2,2026-04-02,2026-04-02,1,Approved
315,64,3,2024-09-21,2024-09-22,2,Approved
316,64,4,2025-07-23,2025-07-23,1,Approved
317,64,1,2025-12-11,2025-12-15,5,Approved
318,64,1,2024-08-06,2024-08-06,1,Approved
319,64,3,2024-08-04,2024-08-08,5,Approved
320,65,3,2025-01-21,2025-01-25,5,Approved
321,65,1,2024-11-12,2024-11-12,1,Approved
322,65,1,2025-04-01,2025-04-01,1,Rejected
323,65,1,2025-08-21,2025-08-23,3,Approved
324,66,1,2026-06-26,2026-07-05,10,Approved
325,66,1,2025-03-30,2025-04-03,5,Approved
326,66,1,2024-01-21,2024-01-25,5,Approved
327,66,1,2023-11-02,2023-11-11,10,Approved
328,66,1,2026-04-20,2026-04-24,5,Approved
329,66,1,2026-04-24,2026-04-24,1,Approved
330,67,3,2026-05-14,2026-05-18,5,Approved
331,67,1,2026-05-09,2026-05-10,2,Pending
332,68,2,2026-06-18,2026-06-20,3,Approved
333,68,1,2024-08-08,2024-08-08,1,Approved
334,68,2,2024-11-18,2024-11-22,5,Approved
335,68,1,2025-01-27,2025-01-31,5,Approved
336,68,1,2026-03-17,2026-03-18,2,Approved
337,68,1,2026-04-09,2026-04-13,5,Approved
338,68,3,2025-05-23,2025-05-27,5,Approved
339,69,4,2024-06-22,2024-06-22,1,Approved
340,69,4,2023-11-02,2023-11-03,2,Approved
341,70,1,2026-06-16,2026-06-16,1,Approved
342,70,3,2026-06-04,2026-06-04,1,Approved
343,70,1,2026-04-11,2026-04-13,3,Approved
344,70,1,2026-05-20,2026-05-24,5,Rejected
345,70,1,2026-04-08,2026-04-08,1,Approved
346,70,1,2026-03-23,2026-03-24,2,Approved
347,71,2,2024-04-11,2024-04-20,10,Pending
348,71,3,2023-10-26,2023-10-27,2,Approved
349,71,4,2026-01-08,2026-01-08,1,Approved
350,71,1,2025-09-28,2025-10-02,5,Approved
351,72,2,2024-03-27,2024-03-31,5,Approved
352,72,1,2024-04-12,2024-04-16,5,Approved
353,72,2,2023-09-01,2023-09-05,5,Approved
354,72,1,2023-09-18,2023-09-19,2,Approved
355,72,4,2024-09-03,2024-09-07,5,Approved
356,72,1,2026-05-24,2026-05-25,2,Approved
357,73,2,2023-11-20,2023-11-24,5,Approved
358,73,1,2024-04-06,2024-04-15,10,Approved
359,73,2,2025-05-15,2025-05-17,3,Approved
360,73,3,2023-07-18,2023-07-20,3,Approved
361,73,1,2024-02-05,2024-02-09,5,Pending
362,73,1,2026-05-31,2026-05-31,1,Approved
363,73,1,2023-07-14,2023-07-14,1,Rejected
364,74,1,2024-12-18,2024-12-20,3,Approved
365,74,1,2024-01-27,2024-01-31,5,Approved
366,74,1,2024-10-27,2024-10-27,1,Pending
367,74,1,2024-03-20,2024-03-20,1,Approved
368,74,2,2026-03-26,2026-03-27,2,Approved
369,74,1,2024-08-22,2024-08-24,3,Approved
370,74,3,2024-04-18,2024-04-20,3,Approved
371,75,1,2024-02-09,2024-02-18,10,Approved
372,75,1,2025-03-20,2025-03-24,5,Approved
373,75,3,2025-08-18,2025-08-22,5,Approved
374,75,4,2023-11-19,2023-11-20,2,Approved
375,76,2,2024-01-18,2024-01-22,5,Approved
376,76,1,2024-03-03,2024-03-04,2,Rejected
377,76,1,2025-05-17,2025-05-17,1,Approved
378,76,1,2024-12-31,2025-01-01,2,Approved
379,76,3,2025-11-04,2025-11-04,1,Approved
380,76,1,2026-02-20,2026-02-20,1,Approved
381,76,1,2024-11-06,2024-11-07,2,Approved
382,76,3,2025-12-28,2026-01-01,5,Approved
383,77,1,2024-11-08,2024-11-12,5,Approved
384,77,1,2026-04-22,2026-05-01,10,Approved
385,77,4,2024-03-03,2024-03-12,10,Approved
386,77,2,2024-01-06,2024-01-06,1,Approved
387,77,2,2025-03-08,2025-03-08,1,Approved
388,77,2,2025-10-06,2025-10-07,2,Pending
389,77,3,2024-09-24,2024-09-26,3,Approved
390,77,1,2025-01-08,2025-01-17,10,Approved
391,78,1,2026-02-01,2026-02-05,5,Approved
392,78,3,2026-05-27,2026-05-27,1,Pending
393,78,2,2025-01-16,2025-01-18,3,Approved
394,78,1,2026-04-05,2026-04-05,1,Approved
395,79,3,2024-06-04,2024-06-13,10,Approved
396,79,1,2026-06-17,2026-06-21,5,Rejected
397,79,1,2025-07-03,2025-07-07,5,Approved
398,79,1,2023-09-15,2023-09-15,1,Approved
399,79,4,2026-03-12,2026-03-21,10,Approved
400,79,2,2025-12-27,2026-01-05,10,Approved
401,79,2,2025-04-13,2025-04-14,2,Pending
402,79,1,2024-05-03,2024-05-03,1,Approved
403,80,4,2023-11-25,2023-11-27,3,Approved
404,80,1,2024-12-15,2024-12-17,3,Approved
405,80,1,2025-04-29,2025-05-03,5,Approved
406,80,2,2024-04-12,2024-04-16,5,Rejected
407,80,4,2026-05-08,2026-05-17,10,Approved
408,80,1,2023-11-25,2023-11-29,5,Approved
409,81,1,2026-03-03,2026-03-04,2,Approved
410,81,1,2026-05-16,2026-05-20,5,Approved
411,81,3,2026-02-26,2026-03-07,10,Approved
412,81,4,2026-05-10,2026-05-14,5,Approved
413,81,3,2026-04-29,2026-04-29,1,Pending
414,81,1,2026-03-24,2026-04-02,10,Pending
415,82,1,2026-01-29,2026-02-02,5,Approved
416,82,2,2025-09-23,2025-09-23,1,Approved
417,82,1,2023-12-18,2023-12-22,5,Approved
418,82,1,2026-05-11,2026-05-15,5,Approved
419,82,1,2024-08-25,2024-08-25,1,Approved
420,82,1,2023-12-27,2023-12-27,1,Approved
421,82,2,2025-06-09,2025-06-09,1,Approved
422,82,1,2024-10-20,2024-10-21,2,Approved
423,83,1,2024-04-09,2024-04-11,3,Approved
424,83,1,2024-01-24,2024-01-24,1,Approved
425,83,1,2026-04-22,2026-05-01,10,Approved
426,83,4,2024-04-26,2024-04-30,5,Approved
427,83,1,2025-11-08,2025-11-08,1,Approved
428,83,1,2025-03-24,2025-03-24,1,Approved
429,83,3,2025-12-28,2026-01-01,5,Approved
430,83,1,2026-05-09,2026-05-09,1,Approved
431,84,3,2024-04-21,2024-04-23,3,Approved
432,84,3,2025-12-15,2025-12-15,1,Approved
433,84,3,2025-01-31,2025-01-31,1,Approved
434,84,1,2025-04-27,2025-04-28,2,Rejected
435,84,1,2026-02-14,2026-02-14,1,Approved
436,84,1,2023-12-15,2023-12-16,2,Pending
437,84,1,2025-02-12,2025-02-13,2,Approved
438,85,1,2024-06-08,2024-06-12,5,Approved
439,85,1,2026-05-06,2026-05-08,3,Approved
440,85,1,2024-08-21,2024-08-30,10,Approved
441,85,1,2026-04-04,2026-04-08,5,Approved
442,85,3,2024-04-13,2024-04-13,1,Approved
443,85,3,2026-04-16,2026-04-17,2,Approved
444,86,1,2023-07-28,2023-07-29,2,Approved
445,86,1,2023-07-08,2023-07-08,1,Approved
446,86,2,2026-03-11,2026-03-12,2,Approved
447,87,1,2026-05-04,2026-05-04,1,Approved
448,87,1,2026-03-02,2026-03-06,5,Approved
449,87,2,2026-04-24,2026-04-28,5,Approved
450,87,2,2026-06-10,2026-06-10,1,Approved
451,87,1,2026-02-21,2026-02-23,3,Rejected
452,88,1,2026-05-05,2026-05-09,5,Pending
453,88,1,2025-09-22,2025-09-26,5,Approved
454,88,1,2024-08-18,2024-08-22,5,Approved
455,88,1,2024-06-17,2024-06-26,10,Approved
456,88,1,2024-08-21,2024-08-25,5,Approved
457,89,2,2026-05-02,2026-05-06,5,Approved
458,89,1,2023-09-12,2023-09-21,10,Approved
459,89,4,2025-11-11,2025-11-13,3,Approved
460,89,1,2026-01-01,2026-01-10,10,Approved
461,89,4,2024-12-12,2024-12-21,10,Approved
462,89,1,2024-06-17,2024-06-19,3,Pending
463,89,1,2025-02-03,2025-02-03,1,Approved
464,90,1,2025-08-17,2025-08-21,5,Approved
465,90,2,2023-08-10,2023-08-12,3,Approved
466,90,1,2025-09-29,2025-09-29,1,Approved
467,91,1,2025-05-03,2025-05-03,1,Approved
468,91,3,2026-05-22,2026-05-23,2,Approved
469,92,1,2024-06-07,2024-06-11,5,Pending
470,92,2,2026-02-24,2026-03-05,10,Approved
471,92,1,2025-06-25,2025-06-27,3,Approved
472,92,1,2025-09-24,2025-10-03,10,Approved
473,92,1,2025-09-07,2025-09-11,5,Rejected
474,92,2,2025-02-23,2025-02-27,5,Rejected
475,92,1,2025-05-25,2025-06-03,10,Approved
476,92,1,2025-06-24,2025-06-24,1,Approved
477,94,3,2025-03-09,2025-03-13,5,Rejected
478,94,3,2025-07-22,2025-07-31,10,Approved
479,94,1,2024-09-06,2024-09-15,10,Approved
480,94,2,2024-07-31,2024-08-02,3,Approved
481,94,1,2024-01-16,2024-01-20,5,Approved
482,94,3,2025-02-08,2025-02-12,5,Approved
483,94,2,2026-05-09,2026-05-13,5,Pending
484,95,2,2023-12-09,2023-12-10,2,Approved
485,95,2,2025-09-11,2025-09-11,1,Approved
486,95,2,2024-07-13,2024-07-15,3,Approved
487,95,1,2023-10-13,2023-10-22,10,Approved
488,95,1,2024-03-16,2024-03-20,5,Approved
489,95,2,2026-05-25,2026-06-03,10,Approved
490,96,2,2024-12-04,2024-12-08,5,Approved
491,96,2,2026-01-03,2026-01-05,3,Rejected
492,97,1,2025-08-30,2025-08-31,2,Approved
493,97,1,2024-09-23,2024-09-23,1,Approved
494,97,1,2025-07-06,2025-07-10,5,Approved
495,97,3,2024-12-06,2024-12-10,5,Pending
496,97,4,2025-09-16,2025-09-20,5,Approved
497,98,3,2024-06-03,2024-06-07,5,Approved
498,98,2,2025-11-10,2025-11-14,5,Pending
499,98,1,2026-06-02,2026-06-06,5,Approved
500,98,2,2023-11-28,2023-11-29,2,Approved
501,99,3,2025-10-06,2025-10-15,10,Rejected
502,99,1,2023-08-08,2023-08-12,5,Approved
503,100,1,2026-03-22,2026-03-24,3,Approved
504,100,1,2026-04-26,2026-04-30,5,Approved
505,100,1,2026-03-29,2026-03-29,1,Approved
506,100,1,2026-03-02,2026-03-06,5,Approved
507,100,2,2026-01-07,2026-01-07,1,Approved
508,100,2,2026-02-18,2026-02-18,1,Approved
509,100,1,2026-02-13,2026-02-14,2,Approved
510,100,1,2026-01-16,2026-01-25,10,Approved
511,101,1,2023-08-04,2023-08-04,1,Approved
512,101,1,2025-04-27,2025-04-29,3,Approved
513,101,1,2024-06-11,2024-06-15,5,Approved
514,101,2,2025-12-15,2025-12-15,1,Approved
515,101,1,2025-05-10,2025-05-10,1,Approved
516,101,4,2025-06-30,2025-07-04,5,Approved
517,101,1,2025-06-19,2025-06-23,5,Approved
518,103,2,2025-01-29,2025-02-02,5,Approved
519,103,1,2024-08-28,2024-09-06,10,Approved
520,103,1,2023-08-07,2023-08-11,5,Approved
521,104,1,2024-01-26,2024-01-26,1,Pending
522,104,1,2026-05-09,2026-05-13,5,Pending
523,104,1,2024-06-05,2024-06-05,1,Approved
524,104,2,2026-01-12,2026-01-16,5,Approved
525,104,3,2025-07-24,2025-07-26,3,Pending
526,104,2,2025-03-12,2025-03-16,5,Approved
527,104,2,2026-02-06,2026-02-07,2,Approved
528,105,1,2025-07-24,2025-08-02,10,Approved
529,105,1,2025-01-02,2025-01-04,3,Approved
530,105,2,2026-01-26,2026-01-26,1,Approved
531,105,2,2024-05-15,2024-05-15,1,Pending
532,105,1,2026-03-18,2026-03-27,10,Approved
533,106,1,2025-06-27,2025-06-28,2,Approved
534,106,3,2025-05-15,2025-05-16,2,Approved
