appraisal_id,employee_id,reviewer_employee_id,appraisal_date,overall_rating,promotion_recommended
152,65,24,2023-10-03,3,False
153,66,46,2026-05-25,4,False
154,66,46,2025-04-24,5,True
155,66,46,2025-04-24,4,True
156,67,20,2026-04-10,5,False
157,68,7,2025-03-17,4,False
158,68,7,2024-08-20,4,False
159,68,7,2024-12-06,1,False
160,69,46,2026-02-21,3,False
161,69,46,2025-10-19,3,False
162,69,46,2023-07-06,3,False
163,71,28,2024-01-12,3,False
164,71,28,2025-12-01,2,False
165,71,28,2023-08-29,4,True
166,72,9,2024-04-22,4,False
167,72,9,2025-05-22,3,False
168,72,9,2025-09-01,3,False
169,73,28,2024-05-24,4,False
170,73,28,2024-08-06,5,True
171,73,28,2023-08-17,3,False
172,74,45,2024-10-03,4,False
173,74,45,2024-04-18,2,False
174,74,45,2025-06-25,3,False
175,75,10,2023-08-04,2,False
176,75,10,2025-10-09,4,False
177,75,10,2025-08-17,3,False
178,76,58,2026-04-23,4,True
179,76,58,2023-07-20,4,True
180,76,58,2023-09-04,3,False
181,77,43,2026-04-03,5,False
182,77,43,2026-01-18,3,False
183,77,43,2024-06-14,4,False
184,78,27,2025-03-10,3,False
185,79,52,2024-07-26,4,False
186,79,52,2023-08-14,4,False
187,79,52,2024-09-23,4,True
188,80,60,2024-08-28,5,True
189,80,60,2026-01-30,4,False
190,80,60,2025-05-11,5,False
191,82,7,2025-09-29,3,False
192,82,7,2024-10-05,3,False
193,82,7,2024-02-20,3,False
194,83,53,2024-11-05,3,False
195,83,53,2024-06-24,5,True
196,84,56,2023-10-24,4,False
197,84,56,2024-11-11,4,False
198,84,56,2026-05-25,4,False
199,85,26,2024-11-30,4,False
200,85,26,2026-01-12,3,False
201,85,26,2026-04-24,5,False
202,86,18,2026-01-19,4,False
203,86,18,2026-03-22,4,False
204,86,18,2025-07-21,4,True
205,88,17,2023-07-11,4,False
206,88,17,2024-06-25,4,False
207,88,17,2023-09-15,3,False
208,89,28,2023-12-25,4,False
209,89,28,2026-01-08,4,False
210,89,28,2026-06-07,5,False
211,90,33,2025-10-23,5,False
212,90,33,2023-11-16,4,False
213,90,33,2024-12-25,4,False
214,91,3,2025-10-11,3,False
215,92,35,2025-01-29,5,False
216,92,35,2026-03-24,3,False
217,93,40,2024-11-18,4,False
218,94,43,2024-06-21,5,False
219,94,43,2024-04-26,3,False
220,94,43,2026-02-26,4,False
221,95,36,2024-08-11,3,False
222,95,36,2025-04-16,4,False
223,95,36,2025-10-22,4,False
224,96,25,2023-12-16,3,False
225,96,25,2024-10-13,2,False
226,96,25,2026-03-27,3,False
227,97,1,2026-05-21,4,False
228,97,1,2024-03-04,5,False
229,97,1,2025-08-15,4,False
230,98,38,2023-11-30,2,False
231,98,38,2024-11-25,4,True
232,98,38,2023-08-26,4,False
233,99,14,2025-07-28,3,False
234,99,14,2024-05-31,4,False
235,99,14,2024-08-12,3,False
236,100,33,2026-06-24,3,False
237,101,15,2025-01-10,4,False
238,101,15,2024-04-14,4,False
239,101,15,2026-06-25,4,True
240,102,40,2023-10-23,2,False
241,103,37,2024-05-03,5,True
242,103,37,2025-07-01,4,False
243,103,37,2026-06-07,2,False
244,104,10,2025-06-21,4,False
245,104,10,2026-04-27,4,False
246,105,52,2024-03-22,5,True
247,105,52,2026-03-23,3,False
248,105,52,2025-08-16,4,True
249,106,55,2026-01-07,4,False
250,107,43,2025-02-08,3,False
251,107,43,2024-05-08,4,True
252,107,43,2025-02-06,3,False
253,108,58,2025-10-07,1,False
254,109,31,2023-09-20,5,True
255,109,31,2023-11-18,1,False
256,109,31,2025-11-21,4,True
257,110,18,2025-01-25,4,False
258,110,18,2024-01-08,4,False
259,110,18,2024-02-21,3,False
260,111,46,2026-03-14,3,False
261,111,46,2024-06-09,4,False
262,111,46,2025-09-02,4,True
263,112,58,2024-09-28,4,True
264,112,58,2026-02-08,4,True
265,112,58,2024-03-03,1,False
266,113,45,2025-05-01,4,False
267,113,45,2024-02-13,4,False
268,113,45,2025-06-19,4,False
269,114,22,2023-10-31,3,False
270,114,22,2025-09-10,3,False
271,114,22,2025-04-21,4,False
272,115,27,2024-06-10,4,False
273,115,27,2025-06-22,4,True
274,115,27,2023-11-25,4,False
275,116,1,2026-02-06,3,False
276,117,62,2026-01-22,1,False
277,117,62,2023-11-13,3,False
278,117,62,2023-07-15,5,False
279,118,28,2026-05-10,4,False
280,118,28,2025-02-23,4,False
281,119,44,2024-06-20,3,False
282,119,44,2023-08-28,1,False
283,119,44,2024-10-02,5,False
284,120,40,2025-06-08,4,False
285,120,40,2025-03-21,4,False
286,121,2,2026-01-02,5,False
287,122,12,2025-09-19,3,False
288,122,12,2025-10-12,3,False
289,122,12,2024-12-31,4,False
290,123,30,2026-02-04,5,False
291,123,30,2023-12-19,3,False
292,123,30,2023-10-18,4,True
293,124,61,2026-04-29,3,False
294,124,61,2024-03-30,4,False
295,124,61,2025-11-12,4,True
296,125,48,2024-03-11,3,False
297,125,48,2026-05-17,4,False
298,125,48,2025-07-29,4,False
299,126,50,2026-02-14,4,True
300,126,50,2026-01-30,2,False
301,126,50,2024-07-03,5,False
302,127,2,2024-06-15,3,False
303,127,2,2023-11-09,4,False
304,127,2,2025-06-25,5,False
305,128,8,2025-01-26,3,False
306,128,8,2026-06-28,1,False
307,128,8,2025-06-17,4,True
308,130,7,2024-11-30,4,False
309,130,7,2024-09-02,3,False
310,130,7,2026-01-20,4,False
311,131,62,2025-04-02,2,False
312,132,54,2023-08-15,4,False
313,134,43,2023-11-25,4,True
314,134,43,2025-07-04,4,True
315,134,43,2025-03-31,2,False
316,135,1,2024-07-07,4,False
317,135,1,2026-05-08,5,False
318,136,24,2025-12-11,3,False
319,136,24,2025-03-12,4,False
320,136,24,2023-09-14,4,False
321,137,34,2026-02-26,4,False
322,137,34,2025-10-02,3,False
323,137,34,2025-11-23,5,True
324,138,47,2025-06-07,4,True
325,138,47,2025-06-03,3,False
326,139,6,2025-06-20,4,False
327,139,6,2025-08-17,3,False
328,139,6,2025-09-15,4,True
329,140,37,2024-01-06,1,False
330,140,37,2025-10-28,3,False
331,140,37,2023-09-05,5,True
332,141,21,2026-04-30,3,False
333,141,21,2023-11-13,4,False
334,141,21,2025-11-23,4,False
335,142,17,2025-08-16,5,False
336,142,17,2023-08-20,2,False
337,142,17,2024-04-29,3,False
338,143,18,2025-12-01,4,True
339,144,47,2024-03-15,2,False
340,144,47,2025-04-16,3,False
341,144,47,2026-03-26,4,False
342,145,45,2025-03-06,3,False
343,147,45,2024-01-25,2,False
344,147,45,2025-08-23,3,False
345,147,45,2025-03-29,2,False
346,148,31,2026-04-16,5,False
347,149,45,2025-01-19,4,True
348,150,8,2024-12-14,5,False
349,150,8,2024-04-02,3,False
350,150,8,2024-10-23,5,False
351,151,61,2023-07-05,1,False
352,151,61,2025-07-24,3,False
353,151,61,2026-06-27,4,True
354,152,18,2024-08-16,4,False
355,152,18,2026-04-23,4,False
356,152,18,2024-05-12,4,False
357,153,24,2025-11-20,4,False
358,153,24,2023-09-24,4,False
359,153,24,2026-05-29,4,False
360,154,9,2026-02-12,1,False
361,154,9,2024-07-19,3,False
362,154,9,2023-10-11,4,False
363,155,45,2025-02-01,5,True
364,155,45,2025-01-07,3,False
365,155,45,2024-07-10,5,True
366,156,1,2026-01-03,4,False
367,156,1,2024-07-18,3,False
368,157,12,2024-08-29,2,False
369,157,12,2025-08-30,5,False
370,158,5,2024-03-05,4,False
371,158,5,2025-07-28,1,False
372,159,44,2024-03-24,3,False
373,159,44,2025-01-22,3,False
374,159,44,2025-10-12,4,False
375,160,61,2024-07-25,3,False
376,160,61,2026-04-20,4,False
377,160,61,2025-11-28,3,False
378,161,49,2025-12-03,4,False
379,161,49,2025-03-16,3,False
380,161,49,2024-09-03,4,False
381,162,15,2025-12-28,4,False
382,163,38,2024-06-25,4,True
383,163,38,2025-05-17,3,False
384,163,38,2024-02-15,4,False
385,164,40,2026-05-25,4,False
386,165,17,2024-09-14,4,False
387,165,17,2025-01-25,3,False
388,165,17,2026-04-08,4,True
389,166,5,2026-01-12,3,False
390,166,5,2025-10-04,4,False
391,166,5,2024-03-29,1,False
392,167,39,2026-03-26,5,False
393,167,39,2024-05-01,4,True
394,167,39,2025-09-10,4,True
395,168,46,2024-09-22,4,False
396,168,46,2026-01-27,4,False
397,168,46,2025-02-03,4,False
398,169,60,2023-08-05,2,False
399,170,52,2026-02-12,3,False
400,171,42,2024-08-28,4,False
401,171,42,2025-04-15,4,False
402,171,42,2024-05-17,3,False
403,173,29,2025-09-30,3,False
404,175,6,2024-10-05,4,False
405,176,2,2025-06-09,4,False
406,176,2,2023-11-29,5,False
407,176,2,2025-11-17,5,True
408,179,42,2023-09-20,3,False
409,179,42,2024-05-08,4,True
410,179,42,2023-09-08,3,False
411,180,28,2025-02-23,4,True
412,180,28,2024-08-04,3,False
413,180,28,2026-05-20,3,False
414,181,22,2024-07-03,3,False
415,181,22,2024-01-23,4,False
416,182,22,2024-12-31,3,False
417,182,22,2024-07-16,2,False
418,182,22,2024-01-25,3,False
419,183,61,2026-02-03,2,False
420,183,61,2026-06-12,5,False
421,184,21,2024-11-03,2,False
422,185,26,2026-01-28,3,False
423,185,26,2025-01-25,4,True
424,185,26,2026-02-19,4,True
425,186,4,2026-06-16,4,True
426,187,32,2024-01-11,4,False
427,187,32,2025-03-16,4,False
428,187,32,2025-03-26,4,False
429,188,36,2026-04-16,3,False
430,188,36,2026-04-07,5,False
431,188,36,2023-10-21,1,False
432,189,32,2024-07-10,4,False
433,189,32,2025-08-13,4,False
434,189,32,2025-12-09,5,False
435,190,16,2026-01-14,3,False
436,191,6,2024-12-03,4,False
437,192,8,2025-04-09,5,True
438,192,8,2024-08-09,4,False
439,192,8,2023-10-06,2,False
440,193,18,2023-09-27,2,False
441,193,18,2026-03-15,3,False
442,193,18,2026-03-14,5,True
443,194,16,2024-07-16,3,False
444,194,16,2026-06-16,4,False
445,195,59,2026-03-25,4,False
446,195,59,2025-10-02,5,True
447,195,59,2025-05-06,3,False
448,196,51,2023-09-30,3,False
449,196,51,2024-07-07,4,True
450,196,51,2024-11-12,3,False
451,197,1,2024-04-03,3,False
452,197,1,2026-02-21,3,False
453,198,38,2025-11-25,4,False
454,198,38,2024-12-06,3,False
455,198,38,2023-07-01,3,False
456,199,31,2023-12-20,4,True
457,199,31,2024-07-28,2,False
458,199,31,2025-01-29,4,False
459,200,25,2025-03-03,5,True
