timesheet_id,employee_id,project_id,task_id,work_date,hours_logged,billable
150,2,20,124,2024-02-07,5.4,True
151,2,4,28,2024-05-09,2.04,True
152,2,1,6,2024-01-23,5.47,True
153,2,20,122,2024-01-31,4.34,True
154,2,10,55,2026-04-15,1.99,True
155,2,9,51,2025-07-03,5.78,True
156,2,2,11,2026-03-11,2.98,True
157,2,22,,2024-02-12,6.76,True
158,2,5,30,2024-01-24,7.29,True
159,2,12,71,2025-11-19,6.04,True
160,2,25,151,2024-04-09,5.48,True
161,2,12,72,2024-12-31,7.09,True
162,2,13,77,2025-08-28,5.67,True
163,2,5,29,2024-05-22,1.28,False
164,2,6,39,2023-08-29,6.97,False
165,2,24,145,2026-03-16,7.4,True
166,2,14,81,2024-12-17,5.41,True
167,2,28,171,2024-10-01,7.83,True
168,2,11,63,2025-12-03,5.46,True
169,2,12,72,2025-08-27,1.61,False
170,2,29,172,2023-07-24,5.33,True
171,2,28,169,2024-06-03,1.06,True
172,2,8,47,2023-10-12,4.3,True
173,2,15,90,2023-12-28,6.92,True
174,2,13,73,2024-01-03,6.44,False
175,2,21,129,2026-01-20,7.63,True
176,2,18,110,2025-07-14,5.87,True
177,2,25,151,2025-05-30,3.16,True
178,2,27,165,2025-10-16,1.3,True
179,2,15,88,2025-05-23,1.31,True
180,2,25,154,2026-04-28,1.51,True
181,2,17,101,2025-12-03,6.79,True
182,2,17,98,2024-06-20,5.98,True
183,2,13,78,2026-04-28,7.11,True
184,2,20,125,2024-11-20,2.55,False
185,2,10,56,2024-04-08,3.6,True
186,2,24,150,2025-04-03,5.84,False
187,2,17,102,2025-04-21,5.83,False
188,2,10,58,2023-07-27,4.42,True
189,2,5,,2023-10-24,2.0,False
190,2,6,39,2024-04-25,6.8,True
191,2,10,59,2023-09-05,3.19,True
192,2,20,124,2024-10-02,6.07,True
193,2,8,47,2023-10-05,7.45,True
194,2,26,158,2023-10-19,0.6,True
195,2,20,125,2025-12-24,6.72,False
196,2,23,140,2024-08-06,6.32,False
197,2,10,60,2023-11-30,1.9,True
198,2,17,97,2025-11-24,2.59,True
199,2,6,39,2023-07-12,2.98,True
200,2,5,,2025-04-21,4.98,False
201,2,21,130,2026-03-31,6.42,True
202,2,3,18,2026-06-11,2.15,True
203,2,3,17,2025-10-29,4.57,True
204,2,16,96,2023-07-19,1.36,True
205,2,8,49,2024-11-11,7.69,True
206,2,11,63,2025-08-29,2.42,True
207,2,1,7,2025-08-06,4.36,True
208,2,16,,2024-07-29,2.9,True
209,2,27,164,2025-12-08,5.35,False
210,2,24,144,2026-01-26,5.88,True
211,2,3,,2024-11-27,4.69,True
212,2,8,48,2025-09-02,3.88,True
213,2,11,,2024-02-28,4.51,True
214,2,20,,2023-10-02,5.76,True
215,2,13,73,2026-02-25,1.67,True
216,2,24,150,2025-02-24,7.7,True
217,2,2,,2025-09-15,4.53,False
218,4,12,72,2025-08-07,1.57,True
219,4,20,120,2024-06-26,1.86,False
220,4,28,,2026-04-09,7.49,False
221,4,15,87,2024-12-23,5.54,True
222,4,22,135,2025-10-01,4.75,False
223,4,14,83,2024-11-08,6.39,True
224,4,21,131,2024-07-16,5.6,True
225,4,10,55,2024-08-27,5.34,True
226,4,9,51,2025-09-03,1.97,True
227,4,21,,2024-05-17,7.19,False
228,4,21,,2025-10-17,4.84,False
229,4,7,44,2024-11-22,4.58,False
230,4,16,92,2025-03-10,3.44,False
231,4,19,115,2024-07-16,3.99,True
232,4,13,73,2026-01-08,2.29,False
233,4,5,31,2025-10-01,7.62,True
234,4,5,36,2025-03-03,0.8,False
235,4,8,,2025-03-14,2.26,True
236,4,17,99,2025-04-02,4.02,True
237,4,2,,2025-12-25,2.93,True
238,4,17,99,2026-03-30,2.47,True
239,4,6,40,2025-03-10,4.91,False
240,4,3,19,2024-10-15,4.37,True
241,4,6,41,2025-12-19,2.61,True
242,4,6,37,2026-01-06,2.23,False
243,4,24,149,2025-07-04,4.09,True
244,4,21,126,2024-11-05,0.82,True
245,4,6,41,2024-04-10,7.18,True
246,4,6,38,2025-08-12,7.69,True
247,4,19,115,2024-05-27,2.12,True
248,4,16,92,2024-10-11,6.73,True
249,4,22,135,2026-03-12,5.64,False
250,4,13,73,2024-09-24,4.42,False
251,4,22,135,2025-11-11,1.22,True
252,4,20,125,2025-08-27,4.27,True
253,4,16,95,2025-09-04,6.71,False
254,4,14,81,2026-02-13,4.47,True
255,4,10,59,2025-04-23,2.43,True
256,4,24,148,2025-08-18,1.38,True
257,4,21,131,2025-04-23,3.22,True
258,4,22,135,2025-04-28,4.64,True
259,4,6,41,2025-07-09,2.4,True
260,4,12,71,2026-03-24,1.54,False
261,4,4,28,2026-05-11,5.74,True
262,4,18,103,2024-08-12,3.42,True
263,4,16,94,2024-05-30,0.98,True
264,4,3,19,2025-04-15,5.1,True
265,4,1,6,2026-06-02,4.39,True
266,4,26,157,2025-11-20,1.77,True
267,4,8,46,2024-05-28,7.98,False
268,4,12,71,2025-10-22,2.0,True
269,4,18,108,2025-02-19,7.72,True
270,4,20,122,2025-04-18,4.81,True
271,4,14,85,2024-05-14,4.27,True
272,4,4,25,2025-09-02,6.6,True
273,4,16,93,2026-05-04,3.94,True
274,4,19,118,2024-06-28,2.43,True
275,4,26,157,2026-05-29,2.87,False
276,4,17,102,2024-11-25,2.36,True
277,4,22,136,2024-05-17,4.66,True
278,4,11,66,2024-09-04,7.6,True
279,4,8,46,2025-11-24,3.17,False
280,4,4,28,2025-11-19,0.55,False
281,4,2,13,2025-11-26,2.87,False
282,4,29,173,2025-07-16,1.87,False
283,4,17,98,2026-04-08,4.82,True
284,4,26,156,2025-07-28,3.1,False
285,4,1,4,2025-10-16,1.26,True
286,4,28,170,2024-11-25,2.28,True
287,4,20,120,2025-07-24,3.68,True
288,4,25,154,2024-12-12,3.88,True
289,4,19,112,2026-03-09,2.52,True
290,4,26,,2025-05-06,4.25,False
291,4,11,66,2024-11-12,4.72,True
292,4,13,,2024-08-15,0.95,False
293,4,16,91,2025-06-04,6.08,True
294,4,20,123,2025-12-26,5.37,True
295,4,25,153,2026-01-19,4.33,False
296,4,15,90,2025-11-19,2.65,True
297,4,5,34,2025-05-06,5.23,True
298,4,28,166,2024-08-13,3.08,True
299,4,21,130,2025-11-10,5.33,True
300,4,19,118,2025-04-28,1.75,False
301,4,5,33,2026-04-01,5.76,True
302,4,30,179,2024-04-25,0.7,True
303,4,20,124,2025-04-04,2.82,True
304,4,17,97,2024-04-05,5.48,False
305,4,11,69,2025-09-05,7.51,True
306,4,5,31,2025-10-27,4.98,True
307,4,21,132,2025-08-19,5.3,True
308,4,26,,2025-01-10,3.24,True
309,4,10,,2025-08-18,6.62,False
310,4,23,141,2025-01-01,0.57,True
311,4,10,61,2024-03-08,4.61,True
312,4,29,173,2024-11-11,1.72,True
313,4,13,76,2024-11-25,1.09,True
314,4,17,101,2026-06-05,5.7,True
315,4,7,42,2024-07-18,2.67,True
316,4,20,124,2025-11-28,4.19,True
317,4,16,94,2025-01-14,6.39,True
318,4,9,50,2025-09-08,4.03,True
319,5,1,7,2024-11-21,3.39,False
320,5,15,87,2026-06-02,5.5,True
321,5,13,77,2025-04-22,1.69,True
322,5,24,148,2024-03-07,2.4,True
323,5,7,42,2024-09-19,7.8,True
324,5,14,82,2025-01-16,4.89,True
325,5,8,,2023-09-25,4.86,True
326,5,30,175,2023-10-31,3.17,True
327,5,18,105,2026-03-26,2.25,False
328,5,26,158,2025-12-15,6.0,True
329,5,13,75,2024-11-25,7.24,True
330,5,15,90,2024-07-23,4.75,True
331,5,11,66,2024-05-24,1.02,True
332,5,10,59,2025-07-21,3.91,False
333,5,17,98,2023-08-08,5.15,True
334,5,20,124,2023-11-07,5.44,True
335,5,4,,2023-11-14,0.83,False
336,5,6,38,2024-02-05,4.14,True
337,5,19,117,2026-03-30,4.44,True
338,5,9,,2024-09-25,5.04,True
339,5,30,178,2023-12-11,4.01,True
340,5,12,71,2025-07-25,6.46,True
341,5,20,119,2023-11-22,6.76,True
342,5,7,42,2024-01-24,5.94,True
343,5,7,44,2024-11-21,4.78,False
344,5,18,109,2024-02-02,6.25,True
345,5,22,137,2024-01-30,1.75,True
346,5,18,108,2025-07-31,3.59,True
347,5,27,164,2024-11-04,4.72,True
348,5,25,153,2025-07-07,7.71,True
349,5,10,59,2024-04-02,7.95,True
350,5,1,6,2025-01-16,7.39,True
351,5,19,113,2024-01-10,0.78,True
352,5,9,50,2025-09-26,4.77,True
353,5,3,19,2024-06-19,4.16,False
354,5,23,138,2025-03-07,0.78,False
355,5,13,,2023-10-23,7.41,True
356,5,28,171,2023-07-24,5.25,True
357,5,2,8,2025-04-14,4.55,True
358,5,17,98,2023-10-12,5.55,False
359,5,15,87,2024-09-27,3.74,False
360,5,19,117,2024-12-19,1.14,True
361,5,25,152,2026-03-11,4.69,True
362,5,21,129,2024-11-08,1.04,False
363,5,11,63,2024-02-16,5.54,True
364,5,25,153,2025-12-22,5.17,True
365,5,30,176,2025-08-04,1.67,True
366,5,1,7,2024-02-13,2.79,True
367,5,11,65,2024-08-21,4.6,False
368,5,18,105,2023-08-07,3.32,False
369,5,17,,2024-06-13,0.95,True
370,5,21,127,2025-09-03,5.45,True
371,5,30,175,2023-08-09,2.69,False
372,5,13,79,2026-05-07,7.82,True
373,5,11,63,2024-07-16,1.99,False
374,5,18,103,2023-09-20,2.36,True
375,5,11,64,2023-08-07,3.1,True
376,5,21,132,2023-08-30,7.58,False
377,5,3,20,2024-10-08,3.63,True
378,5,14,85,2025-05-05,3.87,True
379,5,21,129,2024-04-08,2.82,True
380,5,17,100,2024-04-23,5.42,True
381,5,6,41,2026-06-26,7.61,True
382,5,11,64,2023-08-30,6.24,False
383,5,14,83,2025-12-24,6.09,False
384,5,21,130,2024-05-07,6.34,True
385,5,20,120,2024-10-18,2.23,True
386,5,17,100,2025-08-04,1.88,True
387,5,2,8,2025-01-03,7.63,True
388,5,22,135,2023-11-13,1.83,False
389,5,13,79,2025-04-01,3.46,False
390,5,19,111,2026-06-01,1.32,True
391,5,29,,2024-11-15,4.39,True
392,5,24,,2025-09-01,4.37,True
393,5,2,15,2025-09-23,7.13,False
394,5,3,16,2024-07-03,6.34,False
395,5,23,141,2025-10-24,2.93,True
396,5,3,19,2026-05-13,5.09,True
397,5,19,113,2024-05-28,7.02,True
398,5,10,58,2025-02-11,5.2,True
399,5,1,7,2026-04-17,4.58,True
400,5,15,87,2023-07-14,2.34,True
401,5,20,125,2024-08-29,0.87,True
402,5,21,128,2023-09-05,5.5,False
403,5,10,55,2023-10-09,1.32,False
404,5,6,41,2024-06-28,7.75,True
405,5,12,70,2025-03-04,2.92,False
406,5,27,162,2026-02-19,1.51,True
407,5,9,53,2026-06-09,2.07,True
408,5,2,9,2026-03-17,5.93,True
409,5,26,158,2025-11-21,5.07,True
410,5,17,101,2025-06-24,7.45,True
411,5,16,96,2026-04-15,4.19,True
412,5,20,121,2024-07-31,0.51,True
413,5,21,129,2025-10-27,3.61,True
414,5,18,106,2023-07-24,5.3,True
415,5,9,52,2025-03-06,4.3,True
416,5,1,3,2025-05-30,3.47,True
417,5,1,2,2025-05-07,6.75,False
418,5,16,91,2024-04-04,4.11,True
419,5,29,173,2026-02-02,6.38,True
420,5,24,,2026-06-02,2.75,True
421,5,11,62,2024-08-30,4.83,True
422,5,30,177,2023-11-13,7.77,True
423,5,1,4,2026-06-29,6.82,True
424,5,9,53,2024-10-29,3.29,False
425,6,10,56,2024-01-18,6.67,False
426,6,22,135,2023-09-13,3.95,True
427,6,17,99,2023-09-29,5.65,True
428,6,17,102,2025-03-31,0.67,False
429,6,21,131,2024-08-14,1.94,True
430,6,11,63,2025-01-09,1.62,True
431,6,1,5,2026-05-18,1.27,True
432,6,18,105,2025-01-31,4.81,True
433,6,10,57,2025-12-25,0.88,True
434,6,2,,2025-09-10,1.84,True
435,6,3,19,2024-03-26,1.2,False
436,6,23,141,2025-03-27,5.63,True
437,6,28,168,2025-07-14,3.44,True
438,6,22,136,2026-01-14,4.16,True
439,6,4,28,2024-06-14,2.62,True
440,6,19,112,2025-10-08,6.63,False
441,6,11,63,2025-03-10,4.5,True
442,6,14,82,2024-05-21,7.8,True
443,6,11,68,2025-12-08,4.75,True
444,6,23,143,2023-12-07,6.05,True
445,6,27,164,2026-02-03,2.94,True
446,6,15,90,2023-11-20,4.99,True
447,6,20,122,2025-05-01,4.21,True
448,6,25,152,2026-01-13,4.48,True
449,6,19,114,2025-04-09,2.75,False
450,6,22,137,2025-06-05,7.93,True
451,6,20,122,2024-03-18,6.89,True
452,6,28,166,2024-10-24,3.74,True
453,6,21,132,2025-10-09,3.36,True
454,6,5,31,2024-04-01,0.59,True
455,6,5,36,2025-12-11,7.81,True
456,6,5,35,2026-01-19,7.2,True
457,6,30,176,2026-01-16,4.32,True
458,6,15,88,2024-07-15,3.69,True
459,6,16,92,2026-04-23,2.52,False
460,6,19,111,2026-03-16,5.79,True
461,6,16,91,2024-04-16,5.98,True
462,6,17,,2023-12-29,2.34,True
463,6,22,134,2025-03-31,5.1,False
464,6,18,110,2026-01-15,4.34,True
465,6,10,60,2025-03-14,5.95,True
466,6,22,134,2025-02-07,4.14,True
467,6,3,18,2024-11-28,1.49,True
468,6,28,171,2024-02-14,5.03,False
469,6,26,157,2026-03-20,1.86,True
470,6,2,9,2024-04-23,4.97,False
471,6,8,46,2024-09-04,4.83,False
472,6,2,9,2023-10-16,1.76,True
473,6,10,61,2026-06-25,2.25,True
474,6,28,168,2026-01-05,3.37,True
475,6,17,97,2024-01-16,7.38,True
476,6,28,171,2025-01-09,3.01,True
477,6,4,27,2026-01-30,6.3,True
478,6,17,102,2024-07-03,2.85,True
479,6,1,1,2025-10-20,1.23,True
480,6,15,89,2024-11-27,1.95,True
481,6,3,,2024-09-17,7.63,True
482,6,13,75,2024-02-13,5.72,True
483,6,15,87,2026-01-14,7.42,True
484,6,14,86,2025-04-23,2.43,False
485,6,9,53,2025-09-03,2.99,True
486,6,27,163,2023-11-20,4.19,False
487,6,20,124,2026-04-03,1.31,True
488,6,2,,2024-11-25,6.33,True
489,6,9,52,2025-09-09,4.81,True
490,6,4,26,2025-05-13,5.61,True
491,6,21,127,2025-07-18,4.51,False
492,6,3,18,2024-08-19,1.82,True
493,6,24,144,2024-07-30,0.69,False
494,6,16,94,2023-08-03,0.78,True
495,6,26,159,2024-02-28,2.09,True
496,6,17,102,2024-05-01,6.06,True
497,6,3,,2024-04-15,4.17,True
498,6,23,138,2024-06-17,5.24,False
499,6,27,163,2024-06-14,6.77,True
500,6,27,163,2024-09-24,0.97,True
501,6,11,68,2025-04-25,1.41,True
502,6,18,106,2023-10-02,4.95,True
503,6,23,139,2025-12-15,2.33,True
504,6,25,154,2023-12-13,0.55,True
505,6,20,122,2023-12-28,5.2,False
506,6,12,72,2024-10-25,1.94,False
507,6,4,24,2026-02-05,6.28,True
508,6,9,,2024-02-16,6.47,True
509,6,30,176,2024-05-23,5.53,True
510,6,9,53,2023-09-27,1.28,True
511,6,18,103,2026-03-20,4.36,True
512,6,8,49,2025-04-28,3.64,True
513,6,29,172,2025-04-28,2.21,True
514,6,14,84,2024-09-24,1.05,True
515,6,30,176,2025-09-01,3.3,True
516,6,14,83,2024-09-23,7.15,True
517,6,28,170,2026-02-24,6.78,True
518,6,29,172,2023-07-11,3.63,True
519,6,16,95,2023-09-07,3.69,True
520,6,26,156,2026-01-12,4.21,True
521,6,25,,2025-10-10,7.62,True
522,6,10,55,2023-08-02,4.1,True
523,6,15,88,2025-10-08,1.89,False
524,6,21,126,2023-11-22,3.39,True
525,6,17,,2025-11-19,6.15,True
526,7,20,125,2024-08-28,6.41,True
527,7,29,172,2026-05-20,7.59,True
528,7,12,70,2025-07-18,3.25,True
529,7,23,,2024-08-23,1.54,True
530,7,18,110,2024-09-02,6.15,False
531,7,11,66,2026-04-27,5.6,True
532,7,17,97,2026-02-17,5.82,True
533,7,18,110,2025-07-23,6.5,False
534,7,29,172,2023-12-12,3.43,True
535,7,3,18,2024-02-15,5.73,True
536,7,28,171,2023-08-16,2.7,False
537,7,18,110,2025-06-10,3.65,True
538,7,1,1,2023-08-15,7.04,True
539,7,17,100,2025-06-02,5.42,False
540,7,27,163,2025-03-14,4.75,False
541,7,10,57,2024-10-07,4.13,False
542,7,25,152,2025-06-23,2.63,False
543,7,20,124,2025-02-04,1.87,True
544,7,23,143,2024-05-10,1.71,True
545,7,10,55,2025-10-06,7.48,False
546,7,24,148,2025-05-09,5.35,True
547,7,23,141,2023-09-21,1.55,True
548,7,10,,2024-09-24,3.84,True
549,7,1,,2025-12-29,5.58,False
550,7,17,100,2025-04-11,5.02,True
551,7,2,13,2025-09-22,1.61,False
552,7,12,71,2023-12-27,2.12,False
553,7,24,150,2025-12-23,2.66,False
554,7,29,173,2024-04-11,6.77,True
555,7,5,36,2026-06-10,7.9,True
556,7,19,112,2023-07-14,3.57,False
557,7,7,43,2025-02-12,4.65,True
558,7,27,164,2025-03-14,4.21,True
559,7,8,,2023-07-06,1.66,True
560,7,21,133,2024-03-11,5.4,False
561,7,14,86,2024-11-13,0.71,False
562,7,16,91,2025-07-10,4.86,True
563,7,23,140,2026-05-15,6.0,True
564,7,9,50,2024-04-25,2.9,False
565,7,5,29,2025-01-09,3.21,True
566,7,12,,2025-02-17,4.47,False
567,7,17,102,2024-07-10,6.24,True
568,7,18,105,2023-07-27,1.53,True
569,7,25,153,2024-05-29,1.27,True
570,7,8,49,2026-06-11,6.85,True
571,7,15,87,2024-03-25,7.43,True
572,7,10,56,2025-12-22,7.17,True
573,7,5,31,2024-10-07,2.81,True
574,7,3,16,2023-12-07,0.64,True
575,7,14,,2024-02-06,0.75,True
576,7,19,,2024-02-29,7.31,True
577,7,26,157,2024-08-13,1.89,True
578,7,3,18,2025-06-12,3.14,False
579,7,25,152,2026-04-30,4.78,True
580,7,24,,2024-09-11,7.4,False
581,7,15,87,2024-07-05,6.76,False
582,7,25,153,2023-09-22,1.12,True
583,7,13,77,2025-12-26,2.19,True
584,7,22,134,2026-04-02,5.54,True
585,7,17,97,2024-03-01,1.58,True
586,7,19,113,2023-11-10,3.23,True
587,7,7,43,2024-03-08,2.25,True
588,7,16,96,2025-01-10,6.17,False
589,7,13,79,2026-03-19,4.34,True
590,7,16,92,2023-08-30,1.25,True
591,7,3,16,2024-07-01,3.37,True
592,7,5,30,2023-12-04,5.46,True
593,7,16,92,2025-02-21,5.47,True
594,7,25,,2025-11-28,7.1,True
595,7,15,90,2025-12-23,3.95,True
596,7,16,93,2025-09-04,4.16,True
597,7,18,103,2025-09-09,2.48,True
598,7,5,34,2023-08-25,6.24,True
599,7,13,,2025-06-06,7.94,True
600,7,2,11,2024-10-23,5.36,True
601,7,30,177,2024-02-20,3.03,True
602,7,11,,2025-11-12,4.76,False
603,7,9,,2026-02-16,4.91,False
604,7,13,78,2024-01-17,6.56,True
605,7,26,158,2024-06-06,5.11,True
606,7,9,,2025-10-01,6.53,True
607,7,3,20,2024-01-11,4.94,True
608,7,19,118,2025-11-21,2.07,False
609,7,21,130,2025-12-03,5.48,True
610,7,14,85,2026-05-21,3.9,False
611,7,6,41,2024-07-17,4.83,True
612,7,27,163,2024-12-30,7.53,True
613,7,20,122,2023-10-31,4.42,True
614,7,5,33,2025-12-08,3.58,False
615,7,30,,2024-08-20,6.84,True
616,7,1,7,2025-03-27,3.98,True
617,7,6,37,2024-12-11,6.42,True
618,7,26,,2023-12-19,2.85,True
619,7,3,19,2025-07-14,5.54,False
620,7,4,22,2026-06-03,5.48,True
621,7,29,,2024-03-07,6.3,True
622,7,6,39,2025-12-17,3.56,False
623,8,21,126,2023-10-20,5.68,False
624,8,8,48,2025-03-25,5.29,True
625,8,29,172,2026-06-30,7.0,False
626,8,13,,2025-09-12,7.46,False
627,8,10,,2024-10-25,2.73,False
628,8,6,39,2025-10-10,6.42,True
629,8,3,19,2026-02-19,6.03,False
630,8,11,63,2024-05-24,5.74,True
631,8,12,72,2025-04-30,3.9,True
632,8,2,10,2025-12-25,6.43,True
633,8,13,77,2025-04-03,4.82,True
634,8,26,159,2026-03-06,7.05,True
635,8,6,39,2025-01-28,1.99,True
636,8,6,40,2024-10-02,0.66,True
637,8,15,88,2023-10-10,3.51,True
638,8,9,52,2024-06-13,7.6,True
639,8,23,141,2026-04-08,1.39,True
640,8,28,167,2025-01-30,5.95,True
641,8,6,38,2023-08-28,2.68,True
642,8,1,7,2025-04-23,7.81,True
643,8,7,44,2025-11-13,6.02,True
644,8,4,21,2025-05-12,7.48,True
645,8,12,72,2023-10-02,0.54,True
646,8,13,79,2025-07-29,1.49,False
647,8,2,12,2024-06-12,4.28,False
648,8,29,172,2025-04-10,5.83,True
649,8,9,50,2024-03-18,4.24,False
650,8,9,53,2025-01-30,7.27,True
651,8,11,64,2025-04-07,6.03,True
652,8,5,36,2023-10-17,1.92,True
653,8,6,40,2024-02-23,7.96,False
654,8,2,15,2026-01-23,4.2,False
655,8,28,168,2024-01-08,2.03,True
656,8,27,164,2025-01-09,4.72,True
657,8,7,42,2026-06-12,6.25,True
658,8,30,,2026-04-16,5.58,False
659,8,1,6,2024-03-06,3.46,True
660,8,4,23,2023-08-29,1.11,False
661,8,22,136,2023-07-12,2.97,True
662,8,20,121,2024-03-21,2.09,True
663,8,21,126,2023-11-22,4.6,True
664,8,28,169,2025-10-02,2.64,False
665,8,21,130,2026-04-01,6.51,True
666,8,30,179,2024-03-25,3.19,True
